2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment distribution, percent, 2022","Employment distribution, percent, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Occupational openings, 2022-32 annual average"
        Gambling surveillance officers and gambling investigators,33-9031,Line item,10.8,10.9,0.0,0.0,0.1,0.6,1.4
        Security guards,33-9032,Line item,"1,155.9","1,141.0",0.7,0.7,-14.9,-1.3,150.3
      Miscellaneous protective service workers,33-9090,Summary,416.3,427.8,0.3,0.3,11.5,2.8,101.3
        Crossing guards and flaggers,33-9091,Line item,94.1,98.0,0.1,0.1,3.8,4.1,21.8
"        Lifeguards, ski patrol, and other recreational protective service workers",33-9092,Line item,113.5,120.5,0.1,0.1,7.0,6.2,35.0
        Transportation security screeners,33-9093,Line item,51.3,51.3,0.0,0.0,0.0,0.0,4.7
        School bus monitors,33-9094,Line item,62.4,60.1,0.0,0.0,-2.2,-3.6,11.2
"        Protective service workers, all other",33-9099,Line item,95.0,97.9,0.1,0.1,2.9,3.0,28.6
  Food preparation and serving related occupations,35-0000,Summary,"12,965.9","13,191.5",7.9,7.8,225.6,1.7,"2,480.3"
    Supervisors of food preparation and serving workers,35-1000,Summary,"1,396.1","1,465.4",0.8,0.9,69.3,5.0,210.9
      Chefs and head cooks,35-1011,Line item,174.4,183.6,0.1,0.1,9.2,5.3,22.0
      First-line supervisors of food preparation and serving workers,35-1012,Line item,"1,221.7","1,281.8",0.7,0.8,60.0,4.9,188.9
    Cooks and food preparation workers,35-2000,Summary,"3,661.1","3,791.6",2.2,2.2,130.5,3.6,596.4
      Cooks,35-2010,Summary,"2,729.3","2,904.5",1.7,1.7,175.3,6.4,439.3
"        Cooks, fast food",35-2011,Line item,742.0,640.4,0.5,0.4,-101.6,-13.7,93.3
"        Cooks, institution and cafeteria",35-2012,Line item,434.5,443.4,0.3,0.3,8.9,2.1,66.6
"        Cooks, private household",35-2013,Line item,34.0,32.1,0.0,0.0,-1.9,-5.5,4.8
"        Cooks, restaurant",35-2014,Line item,"1,361.2","1,638.9",0.8,1.0,277.6,20.4,252.4
"        Cooks, short order",35-2015,Line item,137.4,128.9,0.1,0.1,-8.4,-6.1,19.1
"        Cooks, all other",35-2019,Line item,20.2,20.8,0.0,0.0,0.6,3.2,3.1
      Food preparation workers,35-2021,Line item,931.8,887.0,0.6,0.5,-44.8,-4.8,157.1
    Food and beverage serving workers,35-3000,Summary,"6,504.1","6,515.3",4.0,3.9,11.2,0.2,"1,386.5"
      Bartenders,35-3011,Line item,641.3,662.6,0.4,0.4,21.3,3.3,113.5
      Fast food and counter workers,35-3023,Line item,"3,410.1","3,460.5",2.1,2.0,50.4,1.5,789.3
      Waiters and waitresses,35-3031,Line item,"2,194.1","2,125.5",1.3,1.3,-68.6,-3.1,440.0
"      Food servers, nonrestaurant",35-3041,Line item,258.6,266.6,0.2,0.2,8.1,3.1,43.7
    Other food preparation and serving related workers,35-9000,Summary,"1,404.6","1,419.3",0.9,0.8,14.7,1.0,286.6
      Dining room and cafeteria attendants and bartender helpers,35-9011,Line item,459.2,478.4,0.3,0.3,19.2,4.2,89.1
      Dishwashers,35-9021,Line item,447.1,436.9,0.3,0.3,-10.2,-2.3,75.1
"      Hosts and hostesses, restaurant, lounge, and coffee shop",35-9031,Line item,412.8,414.9,0.3,0.2,2.0,0.5,104.2
"      Food preparation and serving related workers, all other",35-9099,Line item,85.4,89.1,0.1,0.1,3.7,4.3,18.3
  Building and grounds cleaning and maintenance occupations,37-0000,Summary,"5,501.2","5,594.1",3.3,3.3,92.9,1.7,752.6
    Supervisors of building and grounds cleaning and maintenance workers,37-1000,Summary,485.8,499.6,0.3,0.3,13.8,2.8,54.7
      First-line supervisors of housekeeping and janitorial workers,37-1011,Line item,254.9,262.6,0.2,0.2,7.7,3.0,30.4
"      First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,Line item,230.9,237.0,0.1,0.1,6.1,2.6,24.3
    Building cleaning and pest control workers,37-2000,Summary,"3,733.8","3,768.7",2.3,2.2,34.9,0.9,527.5
      Building cleaning workers,37-2010,Summary,"3,638.8","3,670.7",2.2,2.2,31.9,0.9,514.9
"        Janitors and cleaners, except maids and housekeeping cleaners",37-2011,Line item,"2,382.9","2,412.8",1.4,1.4,29.9,1.3,336.7
        Maids and housekeeping cleaners,37-2012,Line item,"1,238.8","1,240.4",0.8,0.7,1.6,0.1,175.7
"        Building cleaning workers, all other",37-2019,Line item,17.1,17.5,0.0,0.0,0.4,2.5,2.5
      Pest control workers,37-2021,Line item,95.0,98.0,0.1,0.1,3.0,3.1,12.6
    Grounds maintenance workers,37-3000,Summary,"1,281.6","1,325.8",0.8,0.8,44.2,3.5,170.3
      Landscaping and groundskeeping workers,37-3011,Line item,"1,176.1","1,217.9",0.7,0.7,41.7,3.5,156.6
"      Pesticide handlers, sprayers, and applicators, vegetation",37-3012,Line item,23.2,23.7,0.0,0.0,0.5,2.0,3.0
      Tree trimmers and pruners,37-3013,Line item,66.0,67.6,0.0,0.0,1.7,2.5,8.6
"      Grounds maintenance workers, all other",37-3019,Line item,16.3,16.6,0.0,0.0,0.4,2.2,2.1
  Personal care and service occupations,39-0000,Summary,"4,115.9","4,365.2",2.5,2.6,249.3,6.1,752.7
    Supervisors of personal care and service workers,39-1000,Summary,303.2,326.1,0.2,0.2,22.9,7.5,36.0
      First-line supervisors of entertainment and recreation workers,39-1010,Summary,144.2,154.0,0.1,0.1,9.7,6.7,17.0
        First-line supervisors of gambling services workers,39-1013,Line item,29.7,30.6,0.0,0.0,1.0,3.2,3.3
"        First-line supervisors of entertainment and recreation workers, except gambling services",39-1014,Line item,114.6,123.3,0.1,0.1,8.8,7.7,13.6
      First-line supervisors of personal service workers,39-1022,Line item,159.0,172.1,0.1,0.1,13.1,8.3,19.1
    Animal care and service workers,39-2000,Summary,393.1,454.3,0.2,0.3,61.2,15.6,79.9
      Animal trainers,39-2011,Line item,54.1,62.8,0.0,0.0,8.7,16.0,9.0
      Animal caretakers,39-2021,Line item,339.0,391.5,0.2,0.2,52.5,15.5,70.9
    Entertainment attendants and related workers,39-3000,Summary,573.8,591.7,0.3,0.3,17.9,3.1,154.1
      Gambling services workers,39-3010,Summary,97.1,97.7,0.1,0.1,0.6,0.6,15.5
        Gambling dealers,39-3011,Line item,75.6,76.4,0.0,0.0,0.8,1.0,12.1
        Gambling and sports book writers and runners,39-3012,Line item,8.4,8.1,0.0,0.0,-0.3,-4.0,1.3
"        Gambling service workers, all other",39-3019,Line item,13.1,13.2,0.0,0.0,0.1,0.8,2.1
      Motion picture projectionists,39-3021,Line item,2.1,1.9,0.0,0.0,-0.2,-9.6,0.5
"      Ushers, lobby attendants, and ticket takers",39-3031,Line item,106.6,108.3,0.1,0.1,1.7,1.6,31.5
      Miscellaneous entertainment attendants and related workers,39-3090,Summary,368.0,383.9,0.2,0.2,15.9,4.3,106.6
        Amusement and recreation attendants,39-3091,Line item,343.8,358.1,0.2,0.2,14.4,4.2,99.4
        Costume attendants,39-3092,Line item,6.1,6.4,0.0,0.0,0.3,5.0,1.8
"        Locker room, coatroom, and dressing room attendants",39-3093,Line item,12.9,13.8,0.0,0.0,0.9,7.0,3.8
"        Entertainment attendants and related workers, all other",39-3099,Line item,5.2,5.5,0.0,0.0,0.3,5.4,1.5
    Funeral service workers,39-4000,Summary,64.6,66.6,0.0,0.0,2.0,3.1,9.0
      Embalmers and crematory operators,39-4010,Summary,6.9,7.1,0.0,0.0,0.1,2.1,1.0
        Embalmers,39-4011,Line item,4.0,4.0,0.0,0.0,0.0,0.9,0.6
        Crematory operators,39-4012,Line item,3.0,3.1,0.0,0.0,0.1,3.9,0.4
      Funeral attendants,39-4021,Line item,33.2,34.2,0.0,0.0,0.9,2.8,4.9
"      Morticians, undertakers, and funeral arrangers",39-4031,Line item,24.5,25.4,0.0,0.0,0.9,3.7,3.0
    Personal appearance workers,39-5000,Summary,913.6,987.1,0.6,0.6,73.4,8.0,130.2
"      Barbers, hairdressers, hairstylists and cosmetologists",39-5010,Summary,618.9,666.1,0.4,0.4,47.2,7.6,89.4
        Barbers,39-5011,Line item,63.1,67.6,0.0,0.0,4.4,7.0,7.3
"        Hairdressers, hairstylists, and cosmetologists",39-5012,Line item,555.8,598.6,0.3,0.4,42.8,7.7,82.0
      Miscellaneous personal appearance workers,39-5090,Summary,294.7,321.0,0.2,0.2,26.2,8.9,40.8
"        Makeup artists, theatrical and performance",39-5091,Line item,4.6,4.9,0.0,0.0,0.4,8.6,0.8
        Manicurists and pedicurists,39-5092,Line item,196.9,214.0,0.1,0.1,17.1,8.7,25.5
        Shampooers,39-5093,Line item,11.3,12.6,0.0,0.0,1.3,11.2,2.1
        Skincare specialists,39-5094,Line item,82.0,89.4,0.0,0.1,7.5,9.1,12.4
"    Baggage porters, bellhops, and concierges",39-6000,Summary,66.4,70.3,0.0,0.0,3.9,5.9,11.1
      Baggage porters and bellhops,39-6011,Line item,27.7,29.4,0.0,0.0,1.7,6.3,4.7
      Concierges,39-6012,Line item,38.7,40.9,0.0,0.0,2.2,5.6,6.5
    Tour and travel guides,39-7000,Summary,53.6,58.0,0.0,0.0,4.3,8.1,12.2
      Tour and travel guides,39-7010,Line item,53.6,58.0,0.0,0.0,4.3,8.1,12.2
    Other personal care and service workers,39-9000,Summary,"1,747.4","1,811.1",1.1,1.1,63.6,3.6,320.3
      Childcare workers,39-9011,Line item,945.9,927.4,0.6,0.5,-18.5,-2.0,153.1
      Recreation and fitness workers,39-9030,Summary,618.8,677.4,0.4,0.4,58.5,9.5,130.7
        Exercise trainers and group fitness instructors,39-9031,Line item,329.5,374.6,0.2,0.2,45.2,13.7,69.0
        Recreation workers,39-9032,Line item,289.4,302.7,0.2,0.2,13.4,4.6,61.7
      Residential advisors,39-9041,Line item,95.7,101.4,0.1,0.1,5.7,6.0,17.6
"      Personal care and service workers, all other",39-9099,Line item,87.0,104.9,0.1,0.1,17.9,20.5,18.9
  Sales and related occupations,41-0000,Summary,"14,476.4","14,102.0",8.8,8.3,-374.5,-2.6,"1,806.9"
    Supervisors of sales workers,41-1000,Summary,"1,770.2","1,668.2",1.1,1.0,-102.0,-5.8,152.0
      First-line supervisors of retail sales workers,41-1011,Line item,"1,405.8","1,311.8",0.9,0.8,-94.0,-6.7,123.7
      First-line supervisors of non-retail sales workers,41-1012,Line item,364.4,356.4,0.2,0.2,-8.0,-2.2,28.2
    Retail sales workers,41-2000,Summary,"7,777.8","7,362.3",4.7,4.4,-415.4,-5.3,"1,189.9"
      Cashiers,41-2010,Summary,"3,365.2","3,016.0",2.0,1.8,-349.2,-10.4,581.2
        Cashiers,41-2011,Line item,"3,345.8","2,997.7",2.0,1.8,-348.1,-10.4,577.6
        Gambling change persons and booth cashiers,41-2012,Line item,19.4,18.3,0.0,0.0,-1.1,-5.6,3.5
      Counter and rental clerks and parts salespersons,41-2020,Summary,646.9,659.9,0.4,0.4,12.9,2.0,77.1
        Counter and rental clerks,41-2021,Line item,380.8,391.2,0.2,0.2,10.4,2.7,45.7
        Parts salespersons,41-2022,Line item,266.1,268.7,0.2,0.2,2.6,1.0,31.4
      Retail salespersons,41-2031,Line item,"3,765.6","3,686.4",2.3,2.2,-79.1,-2.1,531.7
"    Sales representatives, services",41-3000,Summary,"2,309.8","2,428.0",1.4,1.4,118.1,5.1,218.1
      Advertising sales agents,41-3011,Line item,111.4,103.4,0.1,0.1,-8.0,-7.2,10.5
      Insurance sales agents,41-3021,Line item,536.8,579.3,0.3,0.3,42.5,7.9,48.3
"      Securities, commodities, and financial services sales agents",41-3031,Line item,482.2,517.7,0.3,0.3,35.6,7.4,40.1
      Travel agents,41-3041,Line item,66.3,68.6,0.0,0.0,2.3,3.5,8.6
"      Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,Line item,"1,113.2","1,158.9",0.7,0.7,45.7,4.1,110.6
"    Sales representatives, wholesale and manufacturing",41-4000,Summary,"1,649.9","1,670.4",1.0,1.0,20.5,1.2,148.0
"      Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Line item,305.6,317.1,0.2,0.2,11.4,3.7,28.5
"      Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,Line item,"1,344.3","1,353.4",0.8,0.8,9.1,0.7,119.5
    Other sales and related workers,41-9000,Summary,968.7,973.0,0.6,0.6,4.3,0.4,99.0
"      Models, demonstrators, and product promoters",41-9010,Summary,47.1,48.9,0.0,0.0,1.8,3.8,8.9
        Demonstrators and product promoters,41-9011,Line item,45.0,46.8,0.0,0.0,1.8,4.0,8.5
        Models,41-9012,Line item,2.2,2.2,0.0,0.0,0.0,0.5,0.4
      Real estate brokers and sales agents,41-9020,Summary,589.8,609.2,0.4,0.4,19.4,3.3,51.6
        Real estate brokers,41-9021,Line item,127.2,131.6,0.1,0.1,4.4,3.5,11.2
        Real estate sales agents,41-9022,Line item,462.6,477.6,0.3,0.3,14.9,3.2,40.5
      Sales engineers,41-9031,Line item,60.9,63.8,0.0,0.0,2.9,4.7,5.9
      Telemarketers,41-9041,Line item,97.7,77.6,0.1,0.0,-20.1,-20.6,9.8
      Miscellaneous sales and related workers,41-9090,Summary,173.2,173.5,0.1,0.1,0.3,0.2,22.8
"        Door-to-door sales workers, news and street vendors, and related workers",41-9091,Line item,36.4,30.6,0.0,0.0,-5.8,-15.9,4.0
"        Sales and related workers, all other",41-9099,Line item,136.8,142.9,0.1,0.1,6.1,4.5,18.8
  Office and administrative support occupations,43-0000,Summary,"19,891.4","18,663.8",12.1,11.0,"-1,227.6",-6.2,"2,059.8"
    Supervisors of office and administrative support workers,43-1000,Summary,"1,567.2","1,486.4",1.0,0.9,-80.7,-5.2,137.7
      First-line supervisors of office and administrative support workers,43-1011,Line item,"1,567.2","1,486.4",1.0,0.9,-80.7,-5.2,137.7
    Communications equipment operators,43-2000,Summary,54.3,41.1,0.0,0.0,-13.1,-24.2,3.6
"      Switchboard operators, including answering service",43-2011,Line item,48.4,36.2,0.0,0.0,-12.1,-25.1,2.9
      Telephone operators,43-2021,Line item,4.1,3.0,0.0,0.0,-1.1,-26.6,0.4
"      Communications equipment operators, all other",43-2099,Line item,1.8,1.9,0.0,0.0,0.1,5.9,0.3
    Financial clerks,43-3000,Summary,"3,052.5","2,839.0",1.9,1.7,-213.5,-7.0,302.2
      Bill and account collectors,43-3011,Line item,209.7,189.6,0.1,0.1,-20.1,-9.6,19.2
      Billing and posting clerks,43-3021,Line item,456.3,456.4,0.3,0.3,0.1,0.0,46.7
"      Bookkeeping, accounting, and auditing clerks",43-3031,Line item,"1,735.8","1,627.5",1.1,1.0,-108.3,-6.2,183.9
      Gambling cage workers,43-3041,Line item,12.2,11.5,0.0,0.0,-0.7,-5.4,1.1
      Payroll and timekeeping clerks,43-3051,Line item,165.4,138.3,0.1,0.1,-27.2,-16.4,12.5
      Procurement clerks,43-3061,Line item,65.3,60.4,0.0,0.0,-4.9,-7.6,5.4
      Tellers,43-3071,Line item,364.1,311.1,0.2,0.2,-52.9,-14.5,29.0
"      Financial clerks, all other",43-3099,Line item,43.7,44.2,0.0,0.0,0.5,1.1,4.5
    Information and record clerks,43-4000,Summary,"5,871.0","5,639.3",3.6,3.3,-231.7,-3.9,712.4
      Brokerage clerks,43-4011,Line item,43.7,39.8,0.0,0.0,-3.9,-8.9,4.3
      Correspondence clerks,43-4021,Line item,6.0,5.6,0.0,0.0,-0.4,-5.9,0.6
"      Court, municipal, and license clerks",43-4031,Line item,170.6,175.7,0.1,0.1,5.1,3.0,17.7
"      Credit authorizers, checkers, and clerks",43-4041,Line item,16.4,15.5,0.0,0.0,-1.0,-5.8,1.2
      Customer service representatives,43-4051,Line item,"2,982.9","2,820.2",1.8,1.7,-162.7,-5.5,373.4
"      Eligibility interviewers, government programs",43-4061,Line item,157.5,161.0,0.1,0.1,3.5,2.2,14.1
      File clerks,43-4071,Line item,91.1,76.5,0.1,0.0,-14.6,-16.0,8.8
"      Hotel, motel, and resort desk clerks",43-4081,Line item,257.7,251.1,0.2,0.1,-6.6,-2.6,39.8
"      Interviewers, except eligibility and loan",43-4111,Line item,175.4,157.6,0.1,0.1,-17.7,-10.1,18.2
"      Library assistants, clerical",43-4121,Line item,82.9,78.2,0.1,0.0,-4.8,-5.8,13.5
      Loan interviewers and clerks,43-4131,Line item,247.1,244.6,0.2,0.1,-2.5,-1.0,20.0
      New accounts clerks,43-4141,Line item,46.6,39.8,0.0,0.0,-6.7,-14.4,3.2
      Order clerks,43-4151,Line item,132.8,108.6,0.1,0.1,-24.2,-18.2,11.2
"      Human resources assistants, except payroll and timekeeping",43-4161,Line item,107.6,102.4,0.1,0.1,-5.2,-4.9,11.1
      Receptionists and information clerks,43-4171,Line item,"1,068.8","1,072.7",0.6,0.6,3.9,0.4,142.6
      Reservation and transportation ticket agents and travel clerks,43-4181,Line item,123.0,124.6,0.1,0.1,1.6,1.3,13.8
"      Information and record clerks, all other",43-4199,Line item,161.1,165.4,0.1,0.1,4.3,2.7,18.9
"    Material recording, scheduling, dispatching, and distributing workers",43-5000,Summary,"2,467.9","2,382.9",1.5,1.4,-84.9,-3.4,226.0
      Cargo and freight agents,43-5011,Line item,95.9,105.2,0.1,0.1,9.3,9.7,11.0
      Couriers and messengers,43-5021,Line item,217.1,220.6,0.1,0.1,3.5,1.6,23.7
      Dispatchers,43-5030,Summary,314.3,315.4,0.2,0.2,1.1,0.3,30.1
        Public safety telecommunicators,43-5031,Line item,99.5,102.9,0.1,0.1,3.4,3.4,10.4
"        Dispatchers, except police, fire, and ambulance",43-5032,Line item,214.8,212.5,0.1,0.1,-2.3,-1.1,19.7
"      Meter readers, utilities",43-5041,Line item,21.1,18.5,0.0,0.0,-2.6,-12.2,1.4
      Postal service workers,43-5050,Summary,504.3,465.3,0.3,0.3,-39.0,-7.7,34.4
        Postal service clerks,43-5051,Line item,74.8,69.8,0.0,0.0,-5.0,-6.7,5.6
        Postal service mail carriers,43-5052,Line item,314.5,293.5,0.2,0.2,-21.0,-6.7,20.6
"        Postal service mail sorters, processors, and processing machine operators",43-5053,Line item,115.0,102.1,0.1,0.1,-13.0,-11.3,8.2
"      Production, planning, and expediting clerks",43-5061,Line item,396.8,413.3,0.2,0.2,16.5,4.2,42.7
"      Shipping, receiving, and inventory clerks",43-5071,Line item,862.9,790.6,0.5,0.5,-72.2,-8.4,76.1
"      Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,Line item,55.6,54.0,0.0,0.0,-1.6,-2.8,6.5
    Secretaries and administrative assistants,43-6000,Summary,"3,399.2","3,066.6",2.1,1.8,-332.6,-9.8,316.0
      Executive secretaries and executive administrative assistants,43-6011,Line item,511.1,403.0,0.3,0.2,-108.1,-21.1,35.6
      Legal secretaries and administrative assistants,43-6012,Line item,161.4,126.2,0.1,0.1,-35.3,-21.8,12.7
      Medical secretaries and administrative assistants,43-6013,Line item,696.6,743.2,0.4,0.4,46.6,6.7,79.3
"      Secretaries and administrative assistants, except legal, medical, and executive",43-6014,Line item,"2,030.2","1,794.3",1.2,1.1,-235.9,-11.6,188.4
    Other office and administrative support workers,43-9000,Summary,"3,479.4","3,208.4",2.1,1.9,-271.0,-7.8,362.0
      Data entry and information processing workers,43-9020,Summary,209.6,149.5,0.1,0.1,-60.1,-28.7,15.3
        Data entry keyers,43-9021,Line item,165.6,122.5,0.1,0.1,-43.1,-26.0,12.3
        Word processors and typists,43-9022,Line item,44.0,27.0,0.0,0.0,-17.0,-38.6,3.0
      Desktop publishers,43-9031,Line item,8.5,7.4,0.0,0.0,-1.1,-13.5,0.7
      Insurance claims and policy processing clerks,43-9041,Line item,259.0,250.8,0.2,0.1,-8.2,-3.2,22.1
"      Mail clerks and mail machine operators, except postal service",43-9051,Line item,72.8,69.4,0.0,0.0,-3.4,-4.7,8.9
"      Office clerks, general",43-9061,Line item,"2,668.2","2,492.8",1.6,1.5,-175.4,-6.6,290.1
"      Office machine operators, except computer",43-9071,Line item,31.6,27.1,0.0,0.0,-4.5,-14.2,3.5
      Proofreaders and copy markers,43-9081,Line item,7.2,6.9,0.0,0.0,-0.3,-3.9,0.9
      Statistical assistants,43-9111,Line item,7.4,7.2,0.0,0.0,-0.1,-1.7,0.6
"      Office and administrative support workers, all other",43-9199,Line item,215.1,197.3,0.1,0.1,-17.8,-8.3,19.8
"  Farming, fishing, and forestry occupations",45-0000,Summary,996.4,977.2,0.6,0.6,-19.2,-1.9,142.0
"    Supervisors of farming, fishing, and forestry workers",45-1000,Summary,56.6,58.1,0.0,0.0,1.5,2.7,7.7
"      First-line supervisors of farming, fishing, and forestry workers",45-1011,Line item,56.6,58.1,0.0,0.0,1.5,2.7,7.7
    Agricultural workers,45-2000,Summary,848.8,831.6,0.5,0.5,-17.2,-2.0,122.0
      Agricultural inspectors,45-2011,Line item,14.1,14.4,0.0,0.0,0.3,2.0,2.3
      Animal breeders,45-2021,Line item,6.5,6.6,0.0,0.0,0.1,2.1,1.0
"      Graders and sorters, agricultural products",45-2041,Line item,30.1,28.5,0.0,0.0,-1.5,-5.1,4.1
      Miscellaneous agricultural workers,45-2090,Summary,798.1,782.0,0.5,0.5,-16.1,-2.0,114.7
        Agricultural equipment operators,45-2091,Line item,64.0,69.5,0.0,0.0,5.5,8.6,10.4
"        Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,Line item,523.5,512.2,0.3,0.3,-11.3,-2.2,75.1
"        Farmworkers, farm, ranch, and aquacultural animals",45-2093,Line item,199.4,188.9,0.1,0.1,-10.5,-5.3,27.5
"        Agricultural workers, all other",45-2099,Line item,11.2,11.4,0.0,0.0,0.2,1.8,1.7
    Fishing and hunting workers,45-3000,Summary,27.3,27.2,0.0,0.0,-0.1,-0.4,3.5
      Fishing and hunting workers,45-3031,Line item,27.3,27.2,0.0,0.0,-0.1,-0.4,3.5
"    Forest, conservation, and logging workers",45-4000,Summary,63.6,60.2,0.0,0.0,-3.4,-5.3,8.9
      Forest and conservation workers,45-4011,Line item,11.3,10.3,0.0,0.0,-1.0,-8.7,1.8
      Logging workers,45-4020,Summary,52.3,49.9,0.0,0.0,-2.4,-4.6,7.1
        Fallers,45-4021,Line item,6.5,5.9,0.0,0.0,-0.6,-9.4,0.8
        Logging equipment operators,45-4022,Line item,35.3,34.0,0.0,0.0,-1.3,-3.8,4.8
        Log graders and scalers,45-4023,Line item,5.6,5.5,0.0,0.0,-0.1,-1.6,0.8
"        Logging workers, all other",45-4029,Line item,4.9,4.6,0.0,0.0,-0.3,-7.0,0.6
  Construction and extraction occupations,47-0000,Summary,"7,335.5","7,520.6",4.5,4.4,185.1,2.5,646.1
    Supervisors of construction and extraction workers,47-1000,Summary,809.9,830.3,0.5,0.5,20.4,2.5,66.6
      First-line supervisors of construction trades and extraction workers,47-1011,Line item,809.9,830.3,0.5,0.5,20.4,2.5,66.6
    Construction trades workers,47-2000,Summary,"5,629.0","5,786.1",3.4,3.4,157.1,2.8,488.1
      Boilermakers,47-2011,Line item,13.7,13.1,0.0,0.0,-0.5,-4.0,1.1
"      Brickmasons, blockmasons, and stonemasons",47-2020,Summary,86.5,86.0,0.1,0.1,-0.5,-0.5,6.8
        Brickmasons and blockmasons,47-2021,Line item,73.0,73.3,0.0,0.0,0.3,0.5,5.9
        Stonemasons,47-2022,Line item,13.5,12.7,0.0,0.0,-0.8,-5.9,1.0
      Carpenters,47-2031,Line item,956.3,964.9,0.6,0.6,8.6,0.9,79.5
"      Carpet, floor, and tile installers and finishers",47-2040,Summary,120.9,124.4,0.1,0.1,3.5,2.9,9.8
        Carpet installers,47-2041,Line item,25.1,22.3,0.0,0.0,-2.8,-11.1,1.5
"        Floor layers, except carpet, wood, and hard tiles",47-2042,Line item,30.2,32.3,0.0,0.0,2.2,7.3,2.6
        Floor sanders and finishers,47-2043,Line item,6.2,6.2,0.0,0.0,0.0,0.1,0.5
        Tile and stone setters,47-2044,Line item,59.4,63.5,0.0,0.0,4.1,6.9,5.1
"      Cement masons, concrete finishers, and terrazzo workers",47-2050,Summary,207.7,199.3,0.1,0.1,-8.5,-4.1,14.3
        Cement masons and concrete finishers,47-2051,Line item,206.2,197.9,0.1,0.1,-8.3,-4.0,14.2
        Terrazzo workers and finishers,47-2053,Line item,1.6,1.4,0.0,0.0,-0.2,-12.2,0.1
      Construction laborers,47-2061,Line item,"1,418.6","1,480.5",0.9,0.9,61.9,4.4,129.4
      Construction equipment operators,47-2070,Summary,483.3,496.6,0.3,0.3,13.3,2.7,42.3
"        Paving, surfacing, and tamping equipment operators",47-2071,Line item,42.3,43.9,0.0,0.0,1.6,3.7,3.8
        Pile driver operators,47-2072,Line item,3.3,3.4,0.0,0.0,0.1,3.2,0.3
        Operating engineers and other construction equipment operators,47-2073,Line item,437.6,449.2,0.3,0.3,11.6,2.7,38.2
"      Drywall installers, ceiling tile installers, and tapers",47-2080,Summary,134.5,135.9,0.1,0.1,1.4,1.1,9.0
        Drywall and ceiling tile installers,47-2081,Line item,116.4,118.2,0.1,0.1,1.9,1.6,7.9
        Tapers,47-2082,Line item,18.1,17.7,0.0,0.0,-0.4,-2.3,1.1
      Electricians,47-2111,Line item,762.6,811.8,0.5,0.5,49.2,6.4,73.5
      Glaziers,47-2121,Line item,54.5,55.7,0.0,0.0,1.2,2.2,5.5
      Insulation workers,47-2130,Summary,61.6,62.6,0.0,0.0,1.0,1.7,4.8
"        Insulation workers, floor, ceiling, and wall",47-2131,Line item,34.4,35.0,0.0,0.0,0.6,1.7,2.7
"        Insulation workers, mechanical",47-2132,Line item,27.2,27.6,0.0,0.0,0.5,1.7,2.1
      Painters and paperhangers,47-2140,Summary,376.3,382.0,0.2,0.2,5.7,1.5,29.6
"        Painters, construction and maintenance",47-2141,Line item,372.4,377.9,0.2,0.2,5.5,1.5,29.3
        Paperhangers,47-2142,Line item,3.9,4.0,0.0,0.0,0.1,3.7,0.3
"      Pipelayers, plumbers, pipefitters, and steamfitters",47-2150,Summary,520.7,529.9,0.3,0.3,9.2,1.8,45.2
        Pipelayers,47-2151,Line item,38.0,36.3,0.0,0.0,-1.7,-4.4,2.6
"        Plumbers, pipefitters, and steamfitters",47-2152,Line item,482.7,493.6,0.3,0.3,10.9,2.3,42.6
      Plasterers and stucco masons,47-2161,Line item,27.3,27.9,0.0,0.0,0.6,2.1,2.0
      Reinforcing iron and rebar workers,47-2171,Line item,22.8,23.1,0.0,0.0,0.3,1.2,1.9
      Roofers,47-2181,Line item,154.5,157.6,0.1,0.1,3.1,2.0,12.2
      Sheet metal workers,47-2211,Line item,126.2,126.0,0.1,0.1,-0.2,-0.1,11.4
      Structural iron and steel workers,47-2221,Line item,71.6,72.9,0.0,0.0,1.3,1.8,6.3
      Solar photovoltaic installers,47-2231,Line item,29.4,35.9,0.0,0.0,6.6,22.3,3.5
"    Helpers, construction trades",47-3000,Summary,206.2,202.2,0.1,0.1,-4.0,-2.0,22.0
"      Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,Line item,17.9,15.9,0.0,0.0,-2.0,-10.9,1.7
      Helpers--carpenters,47-3012,Line item,25.1,23.7,0.0,0.0,-1.3,-5.3,2.5
      Helpers--electricians,47-3013,Line item,72.5,70.0,0.0,0.0,-2.5,-3.5,7.6
"      Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,Line item,8.7,8.9,0.0,0.0,0.1,1.5,1.0
"      Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,Line item,47.8,48.9,0.0,0.0,1.1,2.3,5.4
      Helpers--roofers,47-3016,Line item,5.9,6.0,0.0,0.0,0.1,2.0,0.7
"      Helpers, construction trades, all other",47-3019,Line item,28.3,28.8,0.0,0.0,0.4,1.6,3.2
